filing_status,income_min,income_max,rate,subtraction_amount
single,100000,100525,0.22,4947.0
single,100525,191950,0.24,6957.5
single,191950,243725,0.32,22313.5
single,243725,609350,0.35,29625.25
single,609350,,0.37,41812.25
married_filing_jointly,100000,201050,0.22,9894.0
married_filing_jointly,201050,383900,0.24,13915.0
married_filing_jointly,383900,487450,0.32,44627.0
married_filing_jointly,487450,731200,0.35,59250.5
married_filing_jointly,731200,,0.37,73874.5
married_filing_separately,100000,100525,0.22,4947.0
married_filing_separately,100525,191950,0.24,6957.5
married_filing_separately,191950,243725,0.32,22313.5
married_filing_separately,243725,365600,0.35,29625.25
married_filing_separately,365600,,0.37,36937.25
head_of_household,100000,100500,0.22,6641.0
head_of_household,100500,191950,0.24,8651.0
head_of_household,191950,243700,0.32,24007.0
head_of_household,243700,609350,0.35,31318.0
head_of_household,609350,,0.37,43505.0
